商品名称,商品价格,商品销量,发货地址
READY STOCK NIKE AIR FORCE 1 SPRUCE AURA DAISY HIGH GRADE MADE IN VI,52,1300,Sel
🇲🇾 READY STOCK NIKE AF1 Daisy Air Force 1 One Shadow Macaron Ice Cream Candy Women Shoes Low Top Sneakers 空军 Hee,49,35,M
Nike Air Force 1 AF1 LOW WOALL ,60,7879,Mainland 
Nike Air Force 1 AF1 HIGH CUT WOALL ,49,548,Mainland 
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 S,104,316,Sel
🇲🇾 READY STOCK NIKE Air Force 1 One AF1 Shadow Macaron Ice Cream Daisy Candy Women Shoes Low Top Sneakers 空军 Hee,60,114,M
READY STOCK NIKE AIR FORCE 1 SPRUCE AURA DAISY HIGH GRADE MADE IN VI,53,1694,Sel
READY STOCK 100% GRED 4A NIKE AIR FO,52,697,Sel
Nike Air Force 1 AF1 MAN HIGH CUT WOALL ,70,56,Mainland 
100% GRED 4A NIKE AIR FORCE SHADOW ,95,405,Sel
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Go,72,1894,P
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 PIECE MINU,64,177,Sel
Lowest price！MAN Nike Air Force 1 AF1 LOW WOALL ,66,93,Mainland 
Kasut Sneakers ✨nike Air Jordan Air Force 1 saiz 36 40 Ready ,83,0,Johor
"Seces Nike Air Force No. 1 ""Starry Sky"" Size: ",164,201,Mainland 
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 SHADOW PASTEL C,102,210,Sel
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Goddess CI091,62,30,Mainland 
Kasut Sneakers ✨nike Air Jordan Air Force 1 Highcut saiz ,60,0,Johor
Ready stock Nike Air Force 1 Low React D/MS/X AF1 White  ice blue 3M Reflective CQ887,102,30,Mainland 
Nike Air Force 1 AF1 dark brown to help men and women Air,181,192,Mainland 
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Goddess CI091,60,82,Kuala L
2021  NIKE AIR JORDAN 1 flying man Jordon AJ1 basketball shoes Sneakers men and women shoes couple shoes KASUT NIKE Air Force Jordan Ready Stok Mal,167,0,Mainland 
100% original Nike Air Force 1 AF1 LOW WOALL WHITE 315122-111 classi,185,16,Mainland 
Nike Air Force 1 Shadow AF1 Men and Women Sport R,92,24,Mainland 
Nike Air Force 1 Af1 High Cut Woall White Outdoor Sports Ru,64,43,Mainland 
2021NIKE AIR JORDAN 1 flying man Jordon AJ1 basketball shoes Sneakers men and women shoes couple shoes KASUT NIKE Air Force Air Jordan Ready Stok Mal,98,20,Mainland 
Nike Air Force 1 AF1 LOW WOALL W,100,131,Sel
MEN WOMEN Nike Air Force 1 AF1 LOW WOALL sne,60,8044,Mainland 
"Seces Nike Air Force No. 1 ""Starry Sky"" Size: ",225,110,Mainland 
kasut air force 💥nike air jordan saiz 41 45 ready,67,224,Johor
"Dengan Nike Air Force One 1 yang sah, lakukan sahaja AF1 berlari r",114,49,Mainland 
MEN WOMEN Nike Air Force 1 AF1 LOW WOALL sne,37,566,Mainland 
Nike Air Force 1 High Utility Ins,83,464,Mainland 
2021  NIKE AIR JORDAN 1 flying man Jordon AJ1 basketball shoes Sneakers men and women shoes couple shoes KASUT NIKE Air Force Air Jordan Ready Stok Mal,104,3,Mainland 
Nike Air Force 1 Couples Low cut ,45,289,Mainland 
NEW Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Go,65,92,Mainland 
(SIZE 36-41) NIKE AIR FORCE 1 AF1 SHADOW PALE IVORY / TROPICAL ,77,38,Negeri Sem
Free Gift ! Women AF 1 Shadow Spruce,83,39,Kuala L
Nike Air Force 1 AF1 LOW WOALL WHITE 315122-111 classi,220,29,Mainland 
🇲🇾🇲🇾 Champs Malaysia Nike Air Force 1 Sky Blue Ed,73,143,Kuala L
PRE ORDER!!! Kasut Nike Air Force 1 AF1 LOW WOALL ,66,23,Kel
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 S,70,278,Sel
🔥【ORIGINAL】🇲🇾🔥Nike Air Force 1 Low X G-Dragon Peaceminusone Para,543,11,Perak
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Go,47,42,Mainland 
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Goddess CI091,48,14,Mainland 
🇲🇾 READY STOCK Nike Fiyknit Pink Runing Gym Sport Sandal Shoes Sneakers Women Kasut Perempuan Wanita Sukan Hee,40,1105,M
PEACEMINUSONE x Nike Air Force 1 Quan Zhilong GD joint,754,48,Mainland 
READY STOCK original Nike Air Force 1 AF1 dark brown to help men and wome,234,22,Mainland 
100%GRAND Nike Air Force 1 Low 'G-dragon Peaceminusone Paranoise,622,12,Perak
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 PIECE MINU,69,284,Sel
