商品名称,商品价格,商品销量,商品地址
🇲🇾 READY STOCK NIKE AF1 Daisy Air Force 1 One Shadow Macaron Ice Cream Candy Women Shoes Low Top Sneakers 空军 Hee,50,61,M
100% GRED 4A NIKE AIR FORCE SHADOW ,71,446,Sel
Nike Air Force 1 AF1 LOW WOALL ,42,7918,Mainland 
Nike Air Force 1 AF1 HIGH CUT WOALL ,68,317,Mainland 
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 S,65,292,Sel
Free Gift ! Women AF 1 Shadow Spruce,80,54,Kuala L
100% GRED 4A NIKE AIR FORCE SHADOW ,107,605,Sel
READY STOCK NIKE AIR FORCE 1 SPRUCE AURA DAISY HIGH GRADE MADE IN VI,97,1582,Sel
Nike Air Force 1 AF1 MAN HIGH CUT WOALL ,60,68,Mainland 
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 S,95,299,Sel
READY STOCK 100% GRED 4A NIKE AIR FO,82,1138,Sel
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Go,37,1452,P
Lowest price！MAN Nike Air Force 1 AF1 LOW WOALL ,42,102,Mainland 
2021  NIKE AIR JORDAN 1 flying man Jordon AJ1 basketball shoes Sneakers men and women shoes couple shoes KASUT NIKE Air Force Jordan Ready Stok Mal,121,0,Mainland 
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 PIECE MINU,42,200,Sel
"Seces Nike Air Force No. 1 ""Starry Sky"" Size: ",146,159,Mainland 
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Goddess CI091,58,51,Mainland 
Kasut 💥nike Air Max 270 React Size 41 to 45 Ready ,79,2,Johor
READY STOCK 100% GRED 4A NIKE AIR FORCE 1 SHADOW PASTEL C,71,310,Sel
Nike Air Force 1 AF1 dark brown to help men and women Air,154,170,Mainland 
Ready stock Nike Air Force 1 Low React D/MS/X AF1 White  ice blue 3M Reflective CQ887,83,28,Mainland 
Kasut Sneakers ✨nike Air Jordan Air Force 1 saiz 36 40 Ready ,80,0,Johor
Lowest price！NIKE AIR FORCE HIGH CUT READY,77,58,Mainland 
Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Goddess CI091,47,50,Kuala L
MEN WOMEN Nike Air Force 1 AF1 LOW WOALL sne,45,8024,Mainland 
🔥POST TODAY🔥MALAYSIA READY STOCK NIKE Air Force 1 One AF1 NIKE ZOOM Men Women Shoes Low Top Couple Sneakers ,38,59,Sel
Nike Air Force 1 Af1 High Cut Woall White Outdoor Sports Ru,52,58,Mainland 
100% original Nike Air Force 1 AF1 LOW WOALL WHITE 315122-111 classi,133,19,Mainland 
Nike Air Force 1 AF1 LOW WOALL W,88,94,Sel
2021NIKE AIR JORDAN 1 flying man Jordon AJ1 basketball shoes Sneakers men and women shoes couple shoes KASUT NIKE Air Force Air Jordan Ready Stok Mal,107,19,Mainland 
Nike Air Force 1 Shadow AF1 Men and Women Sport R,134,31,Mainland 
NIKE AIR FORCE HIGH CUT 🔥READYS,41,2855,Mainland 
"Dengan Nike Air Force One 1 yang sah, lakukan sahaja AF1 berlari r",82,61,Mainland 
2021  NIKE AIR JORDAN 1 flying man Jordon AJ1 basketball shoes Sneakers men and women shoes couple shoes KASUT NIKE Air Force Air Jordan Ready Stok Mal,152,3,Mainland 
MEN WOMEN Nike Air Force 1 AF1 LOW WOALL sne,51,1025,Mainland 
"Seces Nike Air Force No. 1 ""Starry Sky"" Size: ",170,62,Mainland 
🔥KUALITY TERBAIK🔥NIKE AIR FORCE ‼️TAPAK JA,86,113,Sel
READY STOCK GRED 4A NIKE AIRFORCE 1 ,93,11,Sel
🔥BARU REATOCK YE😊🔥NIKE AIR FORCE ‼️TAPAK JA,96,51,Sel
NEW Nike Air Force 1 Shadow AF1 Macaron Deconstruction Function Splice Go,116,94,Mainland 
Nike Air Force 1 High Utility Ins,110,364,Mainland 
READY STOCK 100% GRED 4A NIKE AIR JORDAN LO,63,1008,Sel
Nike Air Force 1 AF1 LOW WOALL WHITE 315122-111 classi,143,34,Mainland 
Nike Air Force 1 Couples Low cut ,66,204,Mainland 
(SIZE 36-41) NIKE AIR FORCE 1 AF1 SHADOW PALE IVORY / TROPICAL ,82,31,Negeri Sem
🇲🇾 READY STOCK Nike Fiyknit Pink Runing Gym Sport Sandal Shoes Sneakers Women Kasut Perempuan Wanita Sukan Hee,48,1237,M
NIKE AIR FORCE ONE AF1 SHADOW SPRUCE,65,62,Negeri Sem
🇲🇾🇲🇾 Champs Malaysia Nike Air Force 1 Sky Blue Ed,51,157,Kuala L
PRE ORDER!!! Kasut Nike Air Force 1 AF1 LOW WOALL ,68,30,Kel
Men&women Just do it Nike Air Force 1 Low Shoe Cover sne,145,11,Mainland 
